model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,1500,-0.7953987419605255,-1.465481162071228,-1.1031677722930908,-0.7947153449058533,-0.5839245319366455,-0.5708463788032532,-0.2542572617530823
bidirectional,1600,-0.839036633570989,-1.5574390888214111,-1.0392484664916992,-0.8759492039680481,-0.5416759252548218,-0.6062593460083008,-0.41364777088165283
bidirectional,1700,-0.6542092710733414,-0.45487120747566223,-0.9676674604415894,-0.852273166179657,-0.610337495803833,-0.6382542252540588,-0.4018520712852478
bidirectional,1800,-0.7953238089879354,-1.3446807861328125,-1.0402313470840454,-0.8785826563835144,-0.5825802087783813,-0.5425305962562561,-0.38333725929260254
bidirectional,1900,-0.907187799612681,-1.563586711883545,-1.0966628789901733,-0.894016444683075,-0.7383975982666016,-0.6691498756408691,-0.4813132882118225
bidirectional,2000,-0.7721878439188004,-1.1905603408813477,-0.936487078666687,-0.7780106067657471,-0.6210035681724548,-0.6318520307540894,-0.4752134382724762
bidirectional,2100,-0.8239090442657471,-1.6508243083953857,-1.082836627960205,-0.8542011380195618,-0.47233542799949646,-0.5059627294540405,-0.37729403376579285
bidirectional,2200,-0.843574325243632,-1.7147184610366821,-1.079879641532898,-0.8737072348594666,-0.5274268388748169,-0.521324634552002,-0.3443891406059265
bidirectional,2300,-0.8474001834789912,-1.538063883781433,-0.7852804064750671,-0.9470033049583435,-0.6667928099632263,-0.6595680117607117,-0.4876926839351654
bidirectional,2400,-0.80902927617232,-1.531215786933899,-1.0090343952178955,-0.9063017964363098,-0.3528543710708618,-0.6407121419906616,-0.4140571653842926
bidirectional,2500,-0.9502615431944529,-1.730218768119812,-1.0962949991226196,-1.0027225017547607,-0.6188074946403503,-0.7083601355552673,-0.5451653599739075
bidirectional,2600,-0.734926258524259,-1.4004682302474976,-0.9108861088752747,-0.8401609659194946,-0.5502080321311951,-0.5240259766578674,-0.18380823731422424
bidirectional,2700,-0.7647739152113596,-1.3674958944320679,-0.9267731308937073,-0.7097893357276917,-0.6133874654769897,-0.5288330316543579,-0.4423646330833435
bidirectional,2800,-0.8577485084533691,-1.6103816032409668,-1.0819247961044312,-0.832656741142273,-0.506183922290802,-0.6520206928253174,-0.46332329511642456
bidirectional,2900,-0.8310571958621343,-1.656441569328308,-1.0791938304901123,-0.7525904774665833,-0.4850558936595917,-0.6127521395683289,-0.4003092646598816
bidirectional,3000,-0.8804882069428762,-1.782875657081604,-1.2032127380371094,-0.8286256194114685,-0.5421668291091919,-0.5707300901412964,-0.3553183078765869
bidirectional,3100,-0.697146346171697,-1.0705050230026245,-1.0008593797683716,-0.8756039142608643,-0.3477531969547272,-0.5192334055900574,-0.368923157453537
bidirectional,3200,-0.8001648535331091,-1.5630029439926147,-1.0589874982833862,-0.8510132431983948,-0.48121368885040283,-0.5140714645385742,-0.33270028233528137
bidirectional,3300,-0.821202372511228,-1.8169066905975342,-1.1860029697418213,-0.672133207321167,-0.38832539319992065,-0.572858452796936,-0.2909875214099884
bidirectional,3400,-0.8768170972665151,-1.652316927909851,-1.1491520404815674,-0.899050235748291,-0.5156100988388062,-0.676065981388092,-0.3687072992324829
bidirectional,3500,-0.7296884010235468,-1.893155813217163,-0.6594871282577515,-0.6599808931350708,-0.35738512873649597,-0.5175185799598694,-0.2906028628349304
bidirectional,3600,-0.8546656419833502,-1.8828045129776,-1.0852113962173462,-0.7915228009223938,-0.5319944620132446,-0.4856841564178467,-0.3507765233516693
bidirectional,3700,-0.8423313746849695,-1.5207324028015137,-0.9991692304611206,-0.8862717747688293,-0.5446237325668335,-0.6331594586372375,-0.47003164887428284
